nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
Gamagora 6,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1045/PVHP/2023,
Gamagora 4,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1046/PVHP/2023,
Gamagora 7,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1047/PVHP/2023,
Gamagora 8,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1048/PVHP/2023,
Gamagora 9,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1049/PVHP/2023,
Gamagora 10,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1050/PVHP/2023,
Arinta IPB,Tanaman Sayuran,Jagung Manis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1051/PVHP/2023,
Shadiva,Tanaman Sayuran,Cabai Rawit,"Pusat Kajian Hortikultura Tropika, IPB","Pusat Kajian Hortikultura Tropika, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1052/PVHP/2023,
JMU 1 IPB,Tanaman Sayuran,Jagung Manis,"Pusat Kajian Hortikultura Tropika, IPB","Pusat Kajian Hortikultura Tropika, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1053/PVHP/2023,
CR 21596,Tanaman Sayuran,Cabai Rawit Hias,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1054/PVHP/2023,
KP 14269,Tanaman Sayuran,Kacang Panjang,PT East West Seed INdonesia,PT East West Seed Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1055/PVHP/2023,
JPM AGH 1 IPB,Tanaman Sayuran,Jagung Pulut,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1056/PVHP/2023,
CRH1 IPB,Tanaman Sayuran,Cabai Rawit,"Sekolah Vokasi, IPB","Sekolah Vokasi, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1059/PVHP/2023,
CRH2 IPB,Tanaman Sayuran,Cabai Rawit,"Sekolah Vokasi, IPB","Sekolah Vokasi, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1060/PVHP/2023,
LE 2050,Tanaman Sayuran,Selada,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1062/PVHP/2023,
Kemloko 7,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Temanggung dan BSIP,Pemerintah Kabupaten Temanggung dan BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1063/PVHP/2023,
Biocavita Agrihorti,Tanaman Sayuran,Cabai Merah,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1021/PVHP/2023,
Kemloko 8,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Temanggung dan BSIP,Pemerintah Kabupaten Temanggung dan BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1064/PVHP/2023,
Kemloko 9,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Temanggung dan BSIP,Pemerintah Kabupaten Temanggung dan BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1065/PVHP/2023,
Kemloko 10,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Temanggung dan BSIP,Pemerintah Kabupaten Temanggung dan BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1066/PVHP/2023,
BB1,Tanaman Perkebunan,Kakao,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1067/PVHP/2023,
Biomonas AGRITAN,Tanaman Pangan,Padi,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1068/PVHP/2023,
Purwo Sri Ah050,Tanaman Kehutanan,Akasia,Balai Besar Pengujian Standar Instrumen Kehutanan,Balai Besar Pengujian Standar Instrumen Kehutanan,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1022/PVHP/2023,
Biocarpa Agrihorti,Tanaman Sayuran,Cabai Merah,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1020/PVHP/2023,
Biofortira,Tanaman Pangan,Padi,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1019/PVHP/2023,
Biofortife,Tanaman Pangan,Padi,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1018/PVHP/2023,
Guri 7 Agritan,Tanaman Pangan,Gandum,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1017/PVHP/2023,
Biofortitan,Tanaman Pangan,Padi,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1016/PVHP/2023,
BM 03 Agrihorti,Tanaman Sayuran,Bawang Merah,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1015/PVHP/2023,
BEI 127 S,Tanaman Perkebunan,Tembakau,PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1014/PVHP/2023,
Purwo Sri Ah051,Tanaman Kehutanan,Akasia,Balai Besar Pengujian Standar Instrumen Kehutanan,Balai Besar Pengujian Standar Instrumen Kehutanan,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1023/PVHP/2023,
BioNutrife,Tanaman Pangan,Padi,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1024/PVHP/2023,
Brahmana F1,Tanaman Sayuran,Cabai Merah,PT Tri Berkat Agro,PT Tri Berkat Agro,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1025/PVHP/2023,
Biotama 9,Tanaman Pangan,Padi,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1026/PVHP/2023,
Purwa,Tanaman Pangan,Padi,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1027/PVHP/2023,
Rochani,Tanaman Flori,Anthurium,Dr. Kartika Ning Tyas,Dr. Kartika Ning Tyas,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1028/PVHP/2023,
Sabrina,Tanaman Flori,Begonia,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1029/PVHP/2023,
Shooting Star,Tanaman Flori,Begonia,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1030/PVHP/2023,
Kelapa Kopyor Genjah Kuning Sinumpur,Tanaman Perkebunan,Kelapa Kopyor,Universitas Muhammadiyah Purwokerto,Universitas Muhammadiyah Purwokerto,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1031/PVHP/2023,
Jembrana,Tanaman Flori,Begonia,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1032/PVHP/2023,
Purwo Sri Ah057,Tanaman Kehutanan,Akasia,Balai Besar Penelitian dan Pengembangan Bioteknologi dan Pemuliaan Tanaman Hutan,Balai Besar Penelitian dan Pengembangan Bioteknologi dan Pemuliaan Tanaman Hutan,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1033/PVHP/2023,
IPB CP2,Tanaman Sayuran,Kentang,Kepala Pusat Bioteknologi LPPM IPB,Kepala Pusat Bioteknologi LPPM IPB,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1034/PVHP/2023,
KK JKI 02,Tanaman Sayuran,Kangkung,PT JAVA KARLOS INDONESIA,PT JAVA KARLOS INDONESIA,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1035/PVHP/2023,
Phalaenopsis Kirana IPB,Tanaman Flori,Phalaenopsis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1036/PVHP/2023,
Phalaenopsis Mentari IPB,Tanaman Flori,Phalaenopsis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1037/PVHP/2023,
Phalaenopsis Safira IPB,Tanaman Flori,Phalaenopsis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1038/PVHP/2023,
Phalaenopsis Venera IPB,Tanaman Flori,Phalaenopsis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1039/PVHP/2023,
BEI 317 S,Tanaman Perkebunan,Tembakau,PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1007/PVHP/2023,
Si Cantik Bintang Ara,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2113/PVL/2023,
Gupa,Tanaman Buah,Durian,Pemerintah Kabupaten Dairi,Pemerintah Kabupaten Dairi,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2114/PVL/2023,
Gadumbio,Tanaman Pangan,Ubi Kayu,Pemerintah Kabupaten Simeulue,Pemerintah Kabupaten Simeulue,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2115/PVL/2023,
Singaperbangsa,Tanaman Pangan,Kedelai,Pemerintah Kabupaten Karawang,Pemerintah Kabupaten Karawang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2116/PVL/2023,
Siginjai Mawar,Tanaman Pangan,Padi,Pemerintah Kabupaten Muaro Jambi,Pemerintah Kabupaten Muaro Jambi,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2117/PVL/2023,
Jatinoman,Tanaman Buah,Anggur,Pemerintah Kabupaten Blitar,Pemerintah Kabupaten Blitar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2118/PVL/2023,
Boekari,Tanaman Buah,Anggur,Pemerintah Kabupaten Blitar,Pemerintah Kabupaten Blitar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2119/PVL/2023,
Takripan,Tanaman Buah,Anggur,Pemerintah Kabupaten Blitar,Pemerintah Kabupaten Blitar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2120/PVL/2023,
Gurdisom,Tanaman Buah,Anggur,Pemerintah Kabupaten Blitar,Pemerintah Kabupaten Blitar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2121/PVL/2023,
MW 1,Tanaman Buah,Pisang,Pemerintah Kabupaten Karawang,Pemerintah Kabupaten Karawang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2122/PVL/2023,
Kawan,Tanaman Pangan,Padi,Pemerintah Kabupaten Kutai Kartanegara,Pemerintah Kabupaten Kutai Kartanegara,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2123/PVL/2023,
Pare Kumah Jerowaru,Tanaman Pangan,Padi,Pemerintah Kabupaten Lombok Timur,Pemerintah Kabupaten Lombok Timur,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2124/PVL/2023,
Beboro Kediri,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2125/PVL/2023,
Layur Kecil Gerung,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2126/PVL/2023,
Layur Kediri,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2127/PVL/2023,
Kasturi Kediri,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2128/PVL/2023,
Eskot,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Timur,Pemerintah Kabupaten Lombok Timur,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2129/PVL/2023,
Beboro Labuapi,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2130/PVL/2023,
Layur Besar Gerung,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2131/PVL/2023,
Layur Labuapi,Tanaman Perkebunan,Tembakau,Pemerintah Kabupaten Lombok Barat,Pemerintah Kabupaten Lombok Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2132/PVL/2023,
Hotang,Tanaman Pangan,Padi,Pemerintah Kabupaten Dairi,Pemerintah Kabupaten Dairi,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2134/PVL/2023,
Manteha MDM,Tanaman Buah,Durian,Pemerintah Kabupaten Gorontalo Utara,Pemerintah Kabupaten Gorontalo Utara,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2135/PVL/2023,
Sedudo,Tanaman Buah,Durian,Pemerintah Kabupaten Nganjuk,Pemerintah Kabupaten Nganjuk,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2136/PVL/2023,
Cepoko,Tanaman Buah,Duku,Pemerintah Kabupaten Nganjuk,Pemerintah Kabupaten Nganjuk,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2137/PVL/2023,
Tritik,Tanaman Pangan,Porang,Pemerintah Kabupaten Nganjuk,Pemerintah Kabupaten Nganjuk,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2138/PVL/2023,
Sari Pace Wetan,Tanaman Biofarmaka,Mengkudu,Pemerintah Kabupaten Pacitan,Pemerintah Kabupaten Pacitan,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2139/PVL/2023,
Mbili Pethak,Tanaman Pangan,Gembili,Pemerintah Kabupaten Pacitan,Pemerintah Kabupaten Pacitan,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2140/PVL/2023,
Semar,Tanaman Buah,Mangga,Pemerintah Kota Yogyakarta,Pemerintah Kota Yogyakarta,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2141/PVL/2023,
Cempuro,Tanaman Buah,Mangga,Pemerintah Kota Yogyakarta,Pemerintah Kota Yogyakarta,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2142/PVL/2023,
Karawang,Tanaman Pangan,Porang,Pemerintah Kabupaten Karawang,Pemerintah Kabupaten Karawang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2143/PVL/2023,
Feca,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1000/PVHP/2023,
Callisa,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1001/PVHP/2023,
Ok001,Tanaman Kehutanan,Eukaliptus,PT KORINTIGA HUTANI,PT Korintiga Hutani,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1002/PVHP/2023,
2017 K BM 09,Tanaman Sayuran,Kentang,BPATP,BPATP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1003/PVHP/2023,
2017 K AG 05,Tanaman Sayuran,Kentang,BPATP,BPATP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1004/PVHP/2023,
Imatoru Agrihorti,Tanaman Flori,Pacar Air,BPATP,BPATP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1005/PVHP/2023,
BEI 317,Tanaman Perkebunan,Tembakau,PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1006/PVHP/2023,
Buyung Kuning Kinarum,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2112/PVL/2023,
BEI 377,Tanaman Perkebunan,Tembakau,PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1008/PVHP/2023,
Biocalya Agrihorti,Tanaman Sayuran,Cabai,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1009/PVHP/2023,
Sorgum MIRAI 1,Tanaman Pangan,Sorgum,"OR Hayati dan Lingkungan, BRIN","OR Hayati dan Lingkungan, BRIN",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1010/PVHP/2023,
Guri 8 Agritan,Tanaman Pangan,Gandum,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1011/PVHP/2023,
BM 02 Agrihorti,Tanaman Sayuran,Bawang Merah,Badan Penelitian dan Pengembangan Pertanian,Badan Penelitian dan Pengembangan Pertanian,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1012/PVHP/2023,
BEI 126 S,Tanaman Perkebunan,Tembakau,PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1013/PVHP/2023,
Cigadog,Tanaman Pangan,Padi,Pemerintah Kabupaten Bandung Barat,Pemerintah Kabupaten Bandung Barat,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2133/PVL/2023,
Tuana Tuha,Tanaman Perkebunan,Aren,Pemerintah Kabupaten Kutai Kartanegara,Pemerintah Kabupaten Kutai Kartanegara,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2088/PVL/2023,
Genjah Hjiau ERABOLO Labuhanbatu,Tanaman Perkebunan,Kelapa Genjah,Pemerintah Kabupaten Labuhanbatu,Pemerintah Kabupaten Labuhanbatu,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2087/PVL/2023,
Dharma Nina Ayu,Tanaman Pangan,Padi,Pemerintah Kabupaten Indramayu,Pemerintah Kabupaten Indramayu,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2086/PVL/2023,
Menhir GK,Tanaman Perkebunan,Kopi,Pemerintah Kabupaten Pandeglang,Pemerintah Kabupaten Pandeglang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2085/PVL/2023,
Buyung Putih Lumbang,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2084/PVL/2023,
Mayang Putih Purui,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2083/PVL/2023,
Buyung Kuning Solangai,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2082/PVL/2023,
Buyung Kuning Nalui,Tanaman Pangan,Padi,Pemerintah Kabupaten Tabalong,Pemerintah Kabupaten Tabalong,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2081/PVL/2023,
Panang SSM 01,Tanaman Perkebunan,Kelapa,Pemerintah Kabupaten Bolaang Mongondow Timur,Pemerintah Kabupaten Bolaang Mongondow Timur,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2080/PVL/2023,
Melati Banjar Batuah,Tanaman Flori,Melati,Pemerintah Kabupaten Banjar,Pemerintah Kabupaten Banjar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2079/PVL/2023,
Pamtasa Depok,Tanaman Buah,Alpukat,Pemerintah Kota Depok,Pemerintah Kota Depok,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2070/PVL/2023,
Madu Gemilang,Tanaman Pangan,Padi,Pemerintah Kabupaten Indragiri Hilir,Pemerintah Kabupaten Indragiri Hilir,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2077/PVL/2023,
Karan Duku,Tanaman Pangan,Padi,Pemerintah Kabupaten Indragiri Hilir,Pemerintah Kabupaten Indragiri Hilir,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2076/PVL/2023,
Biru Mahligai,Tanaman Pangan,Padi,Pemerintah Kabupaten Indragiri Hilir,Pemerintah Kabupaten Indragiri Hilir,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2075/PVL/2023,
Karya Putih,Tanaman Pangan,Padi,Pemerintah Kabupaten Indragiri Hilir,Pemerintah Kabupaten Indragiri Hilir,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2074/PVL/2023,
Bujang Keritang,Tanaman Pangan,Padi,Pemerintah Kabupaten Indragiri Hilir,Pemerintah Kabupaten Indragiri Hilir,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2073/PVL/2023,
Kesep Jambu,Tanaman Buah,Durian,Pemerintah Kabupaten Bengkalis,Pemerintah Kabupaten Bengkalis,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2069/PVL/2023,
Apiau,Tanaman Buah,Durian,Pemerintah Kabupaten Bengkalis,Pemerintah Kabupaten Bengkalis,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2068/PVL/2023,
Gempeng Madenan,Tanaman Buah,Manggis,Pemerintah Kabupaten Buleleng,Pemerintah Kabupaten Buleleng,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2067/PVL/2023,
Albo Madenan,Tanaman Buah,Alpukat,Pemerintah Kabupaten Buleleng,Pemerintah Kabupaten Buleleng,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2066/PVL/2023,
Alde Depok,Tanaman Buah,Alpukat,Pemerintah Kota Depok,Pemerintah Kota Depok,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2065/PVL/2023,
Ratu Carita,Tanaman Sayuran,Jengkol,Pemerintah Kabupaten Pandeglang,Pemerintah Kabupaten Pandeglang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2064/PVL/2023,
Kumili Menes,Tanaman Pangan,Gembili,Pemerintah Kabupaten Pandeglang,Pemerintah Kabupaten Pandeglang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2063/PVL/2023,
Mulyandari,Tanaman Buah,Anggur,Pemerintah Kota Depok,Pemerintah Kota Depok,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2062/PVL/2023,
Alputi Madenan,Tanaman Buah,Alpukat,Pemerintah Kabupaten Buleleng,Pemerintah Kabupaten Buleleng,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2061/PVL/2023,
Papandayan RGH,Tanaman Perkebunan,Kopi,Pemerintah Kabupaten Garut,Pemerintah Kabupaten Garut,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2060/PVL/2023,
Mantun Madenan,Tanaman Buah,Durian,Pemerintah Kabupaten Buleleng,Pemerintah Kabupaten Buleleng,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2059/PVL/2023,
Kiraja Madenan,Tanaman Buah,Durian,Pemerintah Kabupaten Buleleng,Pemerintah Kabupaten Buleleng,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2058/PVL/2023,
Selayang Bulat,Tanaman Buah,Durian,Pemerintah Kabupaten Bengkulu Tengah,Pemerintah Kabupaten Bengkulu Tengah,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2057/PVL/2023,
Mukiyo,Tanaman Buah,Durian,Pemerintah Kabupaten Magelang,Pemerintah Kabupaten Magelang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2056/PVL/2023,
J Pink Brongkol,Tanaman Buah,Durian,Pemerintah Kabupaten Semarang,Pemerintah Kabupaten Semarang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2055/PVL/2023,
Madusari 1,Tanaman Sayuran,Labu Siam,Pemerintah Kabupaten Malang,Pemerintah Kabupaten Malang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2104/PVL/2023,
Lily Emas,Tanaman Buah,Alpukat,Pemerintah Provinsi Kepulauan Bangka Belitung,Pemerintah Provinsi Kepulauan Bangka Belitung,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2089/PVL/2023,
Si Keju,Tanaman Buah,Durian,Pemerintah Kabupaten Banjar,Pemerintah Kabupaten Banjar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2090/PVL/2023,
Janar Balau,Tanaman Buah,Durian,Pemerintah Kabupaten Banjar,Pemerintah Kabupaten Banjar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2091/PVL/2023,
Pampakin Kuning,Tanaman Buah,Durian,Pemerintah Kabupaten Banjar,Pemerintah Kabupaten Banjar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2092/PVL/2023,
Bonteb Gunungkidul,Tanaman Pangan,Sorgum,Pemerintah Kabupaten Gunungkidul,Pemerintah Kabupaten Gunungkidul,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2093/PVL/2023,
Buteri,Tanaman Flori,Bunga Telang,Pemerintah Kota Malang,Pemerintah Kota Malang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2094/PVL/2023,
Kesatrian Putih,Tanaman Flori,Bunga Telang,Pemerintah Kota Malang,Pemerintah Kota Malang,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2095/PVL/2023,
Merah Bali,Tanaman Perkebunan,Kelapa,Pemerintah Provinsi Bali,Pemerintah Provinsi Bali,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2096/PVL/2023,
Giri Menoreh,Tanaman Pangan,Ubi Kayu,Pemerintah Kabupaten Kulon Progo,Pemerintah Kabupaten Kulon Progo,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2097/PVL/2023,
Mie Eh,Tanaman Buah,Durian,Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Besar,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2098/PVL/2023,
Jingga Ganda,Tanaman Perkebunan,Kelapa,Pemerintah Kabupaten Minahasa Utara,Pemerintah Kabupaten Minahasa Utara,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2099/PVL/2023,
Jingga Ganda,Tanaman Perkebunan,Kelapa,Pemerintah Kabupaten Minahasa Utara,Pemerintah Kabupaten Minahasa Utara,Dalam Negeri,2023,Pelepasan Varietas Tanaman,90/Kpts/KB.010/12/2024 tanggal 16 Desember 2024,
Eistimewa,Tanaman Pangan,Sorgum,Pemerintah Kabupaten Demak,Pemerintah Kabupaten Demak,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,2100/PVL/2023,
